,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_area
88,Adelie,Dream,38.3,19.2,189.0,3950.0,Male,735.3599999999999
89,Adelie,Dream,38.9,18.8,190.0,3600.0,Female,731.32
90,Adelie,Dream,35.7,18.0,202.0,3550.0,Female,642.6
91,Adelie,Dream,41.1,18.1,205.0,4300.0,Male,743.9100000000001
92,Adelie,Dream,34.0,17.1,185.0,3400.0,Female,581.4000000000001
93,Adelie,Dream,39.6,18.1,186.0,4450.0,Male,716.7600000000001
94,Adelie,Dream,36.2,17.3,187.0,3300.0,Female,626.2600000000001
95,Adelie,Dream,40.8,18.9,208.0,4300.0,Male,771.1199999999999
96,Adelie,Dream,38.1,18.6,190.0,3700.0,Female,708.6600000000001
97,Adelie,Dream,40.3,18.5,196.0,4350.0,Male,745.55
98,Adelie,Dream,33.1,16.1,178.0,2900.0,Female,532.9100000000001
99,Adelie,Dream,43.2,18.5,192.0,4100.0,Male,799.2
100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,626.5
101,Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,820.0
102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,603.2
103,Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,756.0
104,Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,704.94
105,Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,750.33
106,Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,663.92
107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,764.0
108,Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,647.7
109,Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,820.8000000000001
110,Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,628.65
111,Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,925.6800000000001
112,Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,702.69
113,Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,822.9000000000001
114,Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,819.72
115,Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,781.4100000000001
116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,656.2
117,Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,764.65
118,Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,606.9000000000001
119,Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,764.46
120,Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,622.64
121,Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,746.46
122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,683.4000000000001
123,Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,765.9
124,Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,559.6800000000001
125,Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,771.4
126,Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,682.88
127,Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,759.45
128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,666.9000000000001
129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,793.8000000000001
130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,689.15
131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,827.52
132,Adelie,Dream,36.8,18.5,193.0,3500.0,Female,680.8
133,Adelie,Dream,37.5,18.5,199.0,4475.0,Male,693.75
134,Adelie,Dream,38.1,17.6,187.0,3425.0,Female,670.5600000000001
135,Adelie,Dream,41.1,17.5,190.0,3900.0,Male,719.25
136,Adelie,Dream,35.6,17.5,191.0,3175.0,Female,623.0
137,Adelie,Dream,40.2,20.1,200.0,3975.0,Male,808.0200000000001
138,Adelie,Dream,37.0,16.5,185.0,3400.0,Female,610.5
139,Adelie,Dream,39.7,17.9,193.0,4250.0,Male,710.63
140,Adelie,Dream,40.2,17.1,193.0,3400.0,Female,687.4200000000001
141,Adelie,Dream,40.6,17.2,187.0,3475.0,Male,698.32
142,Adelie,Dream,32.1,15.5,188.0,3050.0,Female,497.55
143,Adelie,Dream,40.7,17.0,190.0,3725.0,Male,691.9000000000001
144,Adelie,Dream,37.3,16.8,192.0,3000.0,Female,626.64
145,Adelie,Dream,39.0,18.7,185.0,3650.0,Male,729.3
146,Adelie,Dream,39.2,18.6,190.0,4250.0,Male,729.1200000000001
147,Adelie,Dream,36.6,18.4,184.0,3475.0,Female,673.4399999999999
148,Adelie,Dream,36.0,17.8,195.0,3450.0,Female,640.8000000000001
149,Adelie,Dream,37.8,18.1,193.0,3750.0,Male,684.18
150,Adelie,Dream,36.0,17.1,187.0,3700.0,Female,615.6
151,Adelie,Dream,41.5,18.5,201.0,4000.0,Male,767.75
152,Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,832.3499999999999
153,Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,975.0
154,Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,984.9599999999999
155,Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,848.9799999999999
156,Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,1043.46
157,Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,804.5600000000001
158,Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,839.02
159,Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,933.66
160,Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,869.4
161,Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,1020.8699999999999
162,Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,829.48
163,Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,1049.51
164,Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,813.1
165,Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,941.2
166,Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,784.89
167,Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,989.8000000000001
168,Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,1006.0
169,Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,1032.4
170,Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,863.0400000000001
171,Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,895.44
172,Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,733.52
173,Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,848.75
174,Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,717.1200000000001
175,Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,981.64
176,Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,835.93
177,Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,988.0
178,Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,929.1999999999999
179,Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,940.5
180,Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,825.92
181,Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,1056.0
182,Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,678.94
183,Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,1127.3600000000001
184,Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,709.75
185,Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,958.8000000000001
186,Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,924.4200000000001
187,Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,798.0
188,Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,871.08
189,Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,1076.3999999999999
190,Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,778.5400000000001
191,Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,1064.6499999999999
192,Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,955.5
193,Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,808.5
194,Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,972.19
195,Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,773.5
196,Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,911.1099999999999
197,Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,939.8
198,Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,896.79
199,Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,960.4000000000001
200,Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,963.05
201,Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,861.54
202,Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,788.8399999999999
203,Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,976.6
204,Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,790.6100000000001
205,Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,998.79
206,Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,735.25
207,Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,981.3600000000001
208,Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,750.3200000000002
209,Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,981.0699999999998
210,Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,943.7600000000001
211,Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,884.64
212,Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,1012.05
213,Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,772.1999999999999
214,Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,776.9000000000001
215,Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,1104.84
216,Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,787.35
217,Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,902.72
218,Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,965.1999999999999
219,Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,938.74
220,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,608.52
221,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,815.0
222,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,686.6700000000001
223,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,760.0
224,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,690.2
225,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,627.75
226,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,662.8399999999999
227,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,714.5100000000001
228,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,580.22
229,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,720.72
230,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,560.3299999999999
231,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,788.9000000000001
232,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,623.35
233,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,706.64
234,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,668.68
235,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,774.0099999999999
236,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,567.0
237,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,747.84
238,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,669.9000000000001
239,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,735.37
240,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,717.8600000000001
241,Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,653.95
242,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,674.25
243,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,731.54
244,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,561.99
245,Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,696.11
246,Gentoo,Biscoe,44.5,14.3,216.0,4100.0,Male,636.35
247,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,717.0
248,Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,689.2600000000001
249,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,765.0
250,Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,723.6899999999999
251,Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,607.7599999999999
252,Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,653.95
253,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,1013.2
254,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,726.6800000000001
255,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,788.92
256,Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,583.62
257,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,768.12
258,Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,598.4
259,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,764.59
260,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,584.99
261,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,793.6
262,Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,620.6099999999999
263,Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,744.0
264,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,802.95
265,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,606.0400000000001
266,Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,632.45
267,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,802.95
268,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,597.17
269,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,714.1600000000001
270,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,661.72
271,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,683.85
272,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,649.44
273,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,751.5
274,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,669.6
275,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,693.0
276,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,608.8199999999999
277,Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,682.5
278,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,626.4000000000001
279,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,771.12
280,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,625.14
281,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,688.3800000000001
282,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,635.23
283,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,852.5099999999999
284,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,650.3599999999999
285,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,836.64
286,Gentoo,Biscoe,46.2,14.4,214.0,4650.0,Male,665.2800000000001
287,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,801.9
288,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,617.6999999999999
289,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,760.5
290,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,715.5
291,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,723.8399999999999
292,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,751.9200000000001
293,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,688.2
294,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,696.0
295,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,777.6
296,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,674.5
297,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,832.9300000000001
298,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,623.7600000000001
299,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,741.28
300,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,711.95
301,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,819.0
302,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,692.04
303,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,795.0
304,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,619.62
305,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,878.84
306,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,624.96
307,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,728.4599999999999
308,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,665.0
309,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,885.7
310,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,712.5
311,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,892.6200000000001
312,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,659.75
313,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,796.95
314,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,654.15
315,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,797.56
316,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,780.52
317,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,684.74
318,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,696.96
319,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,843.15
320,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,727.5
321,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,950.3
322,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,731.6
323,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,736.5
324,Gentoo,Biscoe,47.3,13.8,216.0,4725.0,Male,652.74
325,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,753.48
326,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,612.99
327,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,843.72
328,Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,606.1999999999999
329,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,726.3100000000001
330,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,767.5999999999999
331,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,791.8199999999999
332,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,661.1999999999999
333,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,839.45
334,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,651.4200000000001
335,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,881.6
336,Gentoo,Biscoe,44.5,15.7,217.0,4875.0,Male,698.65
337,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,790.56
338,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,646.64
339,Gentoo,Biscoe,,,,,Male,750.7856432748538
340,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,669.24
341,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,791.28
342,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,668.96
343,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,803.3900000000001
